LocID,Location,PopTotal,PopDensity
1106,Denmark (and dependencies),5877.214,12.938
1107,France (and dependencies),67978.398,103.357
1108,Netherlands (and dependencies),17435.228,502.369
1109,New Zealand (and dependencies),4803.553,18.208
1110,United Kingdom (and dependencies),68045.699,264.934
1111,United States of America (and dependencies),332382.72,36.295
1200,"African, Caribbean and Pacific (ACP) Group of States",1150190.575,47.628
1207,Asia-Pacific Economic Cooperation (APEC),2956245.278,49.16
1321,South Asian Association for Regional Cooperation (SAARC),1835297.503,384.631
1475,Least developed: Africa,682410.622,38.991
1476,Least developed: Asia,338616.201,131.863
1477,Least developed: Latin America and the Caribbean,11263.079,408.675
1478,Least developed: Oceania,1098.966,26.791
1479,Less developed: Africa,1308064.176,44.119
1480,Less developed: Asia,4474510.967,145.899
1481,Less developed: Latin America and the Caribbean,648120.956,32.182
1482,Less developed: Oceania,12141.786,22.449
1483,More developed: Asia,126860.299,347.987
1484,More developed: Europe,747182.815,33.756
1485,More developed: Northern America,366600.944,19.655
1486,More developed: Oceania,29986.262,3.774
1500,Low-income countries,755849.741,50.919
1501,Lower-middle-income countries,3057708.884,142.498
1502,Upper-middle-income countries,2638958.43,47.516
1503,High-income countries,1258043.484,33.206
1505,Organisation for Economic Co-operation and Development (OECD),1307716.642,37.94
1506,Europe (48),747182.815,33.756
1508,WB region: Sub-Saharan Africa (excluding high income),1106864.204,46.867
1509,WB region: East Asia and Pacific (excluding high income),2129754.531,133.831
1510,WB region: Europe and Central Asia (excluding high income),421035.757,18.62
1511,WB region: Latin America and Caribbean (excluding high income),569811.869,34.991
1512,WB region: Middle East and North Africa (excluding high income),389753.191,45.105
1513,WB region: South Asia (excluding high income),1835297.503,384.631
1517,Middle-income countries,5696667.314,73.986
1518,No income group available,2907.666,7.907
1520,North American Free Trade Agreement (NAFTA),494051.484,24.476
1521,Organization of Petroleum Exporting countries (OPEC),507887.773,41.057
1522,Group of Seven (G7),770063.284,38.431
1523,Group of Eight (G8),915935.544,25.153
1524,Group of Twenty (G20) - member states,4622853.206,61.199
1525,BRIC,3157123.227,85.106
1526,BRICS,3215681.494,83.94
1527,Black Sea Economic Cooperation (BSEC),342832.245,18.51
1530,Caribbean Community and Common Market (CARICOM),18669.459,43.165
1532,Latin American Integration Association (ALADI),568696.545,29.715
1533,Andean Community,111736.664,30.027
